iter	Passed	Remaining
0	162	162375
1	164	81982
2	165	54996
3	166	41484
4	171	34133
5	177	29404
6	178	25346
7	179	22278
8	201	22183
9	203	20116
10	204	18359
11	205	16896
12	206	15645
13	206	14575
14	207	13648
15	208	12827
16	209	12115
17	210	11475
18	211	10911
19	212	10399
20	213	9945
21	228	10144
22	228	9727
23	229	9345
24	231	9015
25	232	8699
26	233	8421
27	234	8150
28	235	7891
29	236	7646
30	237	7417
31	238	7210
32	239	7012
33	240	6829
34	241	6649
35	242	6480
36	243	6328
37	245	6216
38	247	6099
39	248	5961
40	249	5826
41	249	5700
42	250	5580
43	251	5466
44	252	5355
45	253	5248
46	253	5146
47	254	5048
48	255	4955
49	256	4866
50	256	4780
51	259	4737
52	261	4674
53	262	4598
54	263	4524
55	264	4451
56	264	4380
57	265	4313
58	266	4250
59	267	4189
60	268	4129
61	269	4070
62	269	4012
63	270	3955
64	271	3900
65	271	3847
66	272	3795
67	273	3749
68	274	3703
69	275	3663
70	276	3622
71	277	3577
72	278	3534
73	279	3492
74	279	3451
75	280	3410
76	281	3371
77	281	3332
78	282	3294
79	283	3258
80	284	3222
81	284	3187
82	285	3150
83	285	3117
84	286	3085
85	287	3053
86	288	3026
87	289	3000
88	290	2976
89	291	2950
90	292	2921
91	293	2893
92	293	2865
93	294	2839
94	295	2813
95	296	2787
96	296	2762
97	297	2737
98	298	2713
99	298	2689
100	299	2666
101	300	2644
102	301	2621
103	301	2599
104	302	2579
105	303	2560
106	305	2546
107	306	2530
108	307	2510
109	307	2491
110	308	2472
111	309	2453
112	310	2434
113	310	2415
114	311	2397
115	312	2379
116	312	2361
117	313	2343
118	314	2326
119	314	2309
120	315	2292
121	316	2275
122	316	2259
123	317	2245
124	319	2234
125	320	2222
126	320	2206
127	321	2191
128	322	2176
129	323	2162
130	323	2147
131	324	2132
132	325	2118
133	325	2104
134	326	2091
135	327	2077
136	327	2064
137	328	2051
138	329	2038
139	329	2025
140	330	2013
141	330	1999
142	331	1988
143	332	1977
144	334	1972
145	335	1961
146	336	1950
147	336	1938
148	337	1927
149	338	1916
150	338	1906
151	339	1895
152	340	1885
153	341	1874
154	341	1863
155	342	1852
156	343	1842
157	343	1831
158	344	1821
159	345	1811
160	345	1800
161	346	1791
162	347	1783
163	349	1779
164	350	1772
165	351	1763
166	351	1754
167	352	1745
168	353	1735
169	353	1726
170	354	1717
171	354	1708
172	355	1700
173	356	1691
174	356	1682
175	357	1674
176	358	1665
177	358	1657
178	359	1649
179	360	1640
180	361	1633
181	361	1626
182	363	1623
183	364	1618
184	365	1610
185	366	1603
186	367	1595
187	367	1588
188	368	1581
189	369	1574
190	370	1567
191	370	1560
192	371	1553
193	372	1547
194	373	1540
195	373	1533
196	374	1527
197	375	1521
198	376	1517
199	378	1515
200	380	1512
201	381	1506
202	382	1501
203	383	1495
204	384	1489
205	384	1483
206	385	1478
207	386	1471
208	387	1466
209	388	1460
210	389	1455
211	390	1450
212	392	1448
213	393	1446
214	394	1440
215	395	1434
216	395	1428
217	396	1422
218	397	1417
219	398	1411
220	398	1405
221	399	1399
222	400	1394
223	401	1389
224	402	1385
225	403	1380
226	403	1375
227	404	1369
228	405	1365
229	407	1364
230	408	1359
231	409	1354
232	409	1349
233	410	1344
234	411	1339
235	412	1334
236	412	1329
237	413	1324
238	414	1318
239	415	1314
240	415	1309
241	416	1304
242	417	1299
243	417	1294
244	418	1288
245	418	1283
246	419	1278
247	420	1274
248	422	1273
249	423	1270
250	424	1266
251	425	1261
252	425	1257
253	426	1252
254	427	1248
255	428	1244
256	429	1240
257	430	1236
258	430	1232
259	431	1228
260	432	1223
261	432	1219
262	433	1214
263	434	1210
264	435	1206
265	437	1206
266	438	1203
267	438	1199
268	439	1194
269	440	1191
270	441	1186
271	441	1182
272	442	1179
273	443	1174
274	444	1170
275	444	1166
276	445	1162
277	446	1158
278	447	1155
279	447	1151
280	449	1149
281	451	1148
282	452	1146
283	453	1143
284	454	1139
285	454	1135
286	455	1132
287	456	1128
288	457	1125
289	458	1122
290	459	1118
291	459	1114
292	460	1111
293	461	1107
294	462	1104
295	462	1100
296	463	1096
297	464	1093
298	465	1091
299	466	1088
300	467	1085
301	468	1082
302	468	1078
303	469	1074
304	470	1071
305	470	1067
306	471	1064
307	472	1060
308	472	1057
309	473	1053
310	474	1050
311	474	1047
312	475	1043
313	476	1040
314	476	1037
315	477	1033
316	478	1030
317	478	1027
318	480	1024
319	481	1023
320	482	1021
321	483	1018
322	484	1015
323	485	1012
324	486	1009
325	486	1006
326	487	1003
327	488	1000
328	488	997
329	489	993
330	490	990
331	490	987
332	491	984
333	492	981
334	493	978
335	493	975
336	494	973
337	496	971
338	496	968
339	497	965
340	498	963
341	498	960
342	499	957
343	500	954
344	501	951
345	501	948
346	502	945
347	503	943
348	504	940
349	504	937
350	505	934
351	506	931
